variable,value,n,hit_rate_at_k,precision_at_k,recall_at_k,mrr,mean_relevant_chunks_in_corpus,accuracy,abstention_rate,hallucination_rate,n_chunks,n_documents,mean_chunk_chars
chunking.chunk_size,400,80,0.9375,0.1875,0.9375,0.8697916666666666,0.9375,0.9875,0.0125,0.0,160,80,340.8
chunking.chunk_size,600,80,0.875,0.175,0.875,0.7889583333333333,0.9375,0.875,0.1125,0.0125,160,80,340.8
