variable,value,n,hit_rate_at_k,precision_at_k,recall_at_k,mrr,mean_relevant_chunks_in_corpus,accuracy,abstention_rate,hallucination_rate,n_chunks,n_documents,mean_chunk_chars
chunking.strategy,fixed,80,0.2625,0.052500000000000005,0.2625,0.2160416666666667,0.675,0.425,0.55,0.025,469,80,116.2
chunking.strategy,recursive,80,0.625,0.125,0.625,0.6104166666666667,0.825,0.625,0.375,0.0,616,80,88.5
