variable,value,n,hit_rate_at_k,precision_at_k,recall_at_k,mrr,mean_relevant_chunks_in_corpus,accuracy,abstention_rate,hallucination_rate,n_chunks,n_documents,mean_chunk_chars
chunking.chunk_size,64,80,0.0,0.0,0.0,0.0,0.0,0.025,0.9625,0.0125,888,80,61.4
chunking.chunk_size,128,80,0.2625,0.052500000000000005,0.2625,0.2160416666666667,0.675,0.425,0.55,0.025,469,80,116.2
chunking.chunk_size,200,80,0.7,0.14,0.7,0.6227083333333334,0.775,0.825,0.175,0.0,320,80,170.4
chunking.chunk_size,300,80,0.85,0.17,0.85,0.7864583333333333,0.8875,0.9125,0.0875,0.0,240,80,227.2
chunking.chunk_size,400,80,0.9375,0.1875,0.9375,0.8697916666666666,0.9375,0.9875,0.0125,0.0,160,80,340.8
chunking.chunk_size,600,80,0.875,0.175,0.875,0.7889583333333333,0.9375,0.875,0.1125,0.0125,160,80,340.8
chunking.chunk_size,800,80,1.0,0.2,1.0,0.9875,1.0,1.0,0.0,0.0,80,80,681.5
chunking.chunk_size,1200,80,1.0,0.2,1.0,0.9875,1.0,1.0,0.0,0.0,80,80,681.5
