variable,value,n,hit_rate_at_k,precision_at_k,recall_at_k,mrr,mean_relevant_chunks_in_corpus,accuracy,abstention_rate,hallucination_rate,n_chunks,n_documents,mean_chunk_chars
corpus.distractor_ratio,0.0,80,1.0,0.20750000000000002,1.0,0.9333333333333333,1.0375,1.0,0.0,0.0,163,80,359.9
corpus.distractor_ratio,0.5,80,1.0,0.20750000000000002,1.0,0.9166666666666666,1.0375,1.0,0.0,0.0,245,120,358.9
corpus.distractor_ratio,1.0,80,1.0,0.20750000000000002,1.0,0.899375,1.0375,1.0,0.0,0.0,328,160,357.0
corpus.distractor_ratio,2.0,80,0.9875,0.20249999999999999,0.9875,0.8720833333333333,1.0375,0.9875,0.0125,0.0,490,240,359.0
corpus.distractor_ratio,3.0,80,0.9375,0.1925,0.9375,0.8458333333333334,1.0375,0.9375,0.0625,0.0,655,320,357.8
corpus.distractor_ratio,4.0,80,0.9375,0.1925,0.9375,0.8458333333333334,1.0375,0.9375,0.0625,0.0,818,400,357.7
